"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Hotham","21",1447
"Persons, Place of Usual Residence","Australian","Hotham","22",1442
"Persons, Place of Usual Residence","Australian","Hotham","23",1329
"Persons, Place of Usual Residence","Australian","Hotham","24",1295
"Persons, Place of Usual Residence","Australian","Hotham","25",1219
"Persons, Place of Usual Residence","Australian","Hotham","26",1206
"Persons, Place of Usual Residence","Australian","Hotham","27",1172
"Persons, Place of Usual Residence","Australian","Hotham","28",1189
"Persons, Place of Usual Residence","Australian","Hotham","29",1214
"Persons, Place of Usual Residence","Australian","Hotham","30",1246
"Persons, Place of Usual Residence","Australian","Indi","15",1667
"Persons, Place of Usual Residence","Australian","Indi","16",1568
"Persons, Place of Usual Residence","Australian","Indi","17",1588
"Persons, Place of Usual Residence","Australian","Indi","18",1482
"Persons, Place of Usual Residence","Australian","Indi","19",1334
"Persons, Place of Usual Residence","Australian","Indi","20",1234
"Persons, Place of Usual Residence","Australian","Indi","21",1226
"Persons, Place of Usual Residence","Australian","Indi","22",1192
"Persons, Place of Usual Residence","Australian","Indi","23",1250
"Persons, Place of Usual Residence","Australian","Indi","24",1203
"Persons, Place of Usual Residence","Australian","Indi","25",1131
"Persons, Place of Usual Residence","Australian","Indi","26",1157
"Persons, Place of Usual Residence","Australian","Indi","27",1142
"Persons, Place of Usual Residence","Australian","Indi","28",1220
"Persons, Place of Usual Residence","Australian","Indi","29",1169
"Persons, Place of Usual Residence","Australian","Indi","30",1237
"Persons, Place of Usual Residence","Australian","Isaacs","15",1561
"Persons, Place of Usual Residence","Australian","Isaacs","16",1561
"Persons, Place of Usual Residence","Australian","Isaacs","17",1580
"Persons, Place of Usual Residence","Australian","Isaacs","18",1582
"Persons, Place of Usual Residence","Australian","Isaacs","19",1647
"Persons, Place of Usual Residence","Australian","Isaacs","20",1586
"Persons, Place of Usual Residence","Australian","Isaacs","21",1580
"Persons, Place of Usual Residence","Australian","Isaacs","22",1557
"Persons, Place of Usual Residence","Australian","Isaacs","23",1503
"Persons, Place of Usual Residence","Australian","Isaacs","24",1527
"Persons, Place of Usual Residence","Australian","Isaacs","25",1453
"Persons, Place of Usual Residence","Australian","Isaacs","26",1464
"Persons, Place of Usual Residence","Australian","Isaacs","27",1464
"Persons, Place of Usual Residence","Australian","Isaacs","28",1542
"Persons, Place of Usual Residence","Australian","Isaacs","29",1551
"Persons, Place of Usual Residence","Australian","Isaacs","30",1651
"Persons, Place of Usual Residence","Australian","Jagajaga","15",1419
"Persons, Place of Usual Residence","Australian","Jagajaga","16",1561
"Persons, Place of Usual Residence","Australian","Jagajaga","17",1514
"Persons, Place of Usual Residence","Australian","Jagajaga","18",1559
"Persons, Place of Usual Residence","Australian","Jagajaga","19",1538
"Persons, Place of Usual Residence","Australian","Jagajaga","20",1493
"Persons, Place of Usual Residence","Australian","Jagajaga","21",1593
"Persons, Place of Usual Residence","Australian","Jagajaga","22",1508
"Persons, Place of Usual Residence","Australian","Jagajaga","23",1415
"Persons, Place of Usual Residence","Australian","Jagajaga","24",1340
"Persons, Place of Usual Residence","Australian","Jagajaga","25",1408
"Persons, Place of Usual Residence","Australian","Jagajaga","26",1349
